Group_id	Spider_classification	Utterance_id	Base_paraphrase	Portuguese_utterance	English_utterance	Domain_value_generic	English_SQL_statement	Portuguese_SQL_statement	Events_cases_classification	Projection_classification	Condition_classification	Condition_group_classification	Purpose_classification	Wh_classification	Ambiguity	Projection_aggregation	Groupby	IUEN	Subselect_condition	Subselect_having	Subselect_from	Subselect_with
1	easy	1	base	Quantas atividades 'fim da viagem' existem no log de eventos?	How many 'end trip' activities are there in the event log?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	2	paraphrase	Quantas atividades 'fim da viagem' temos?	How many 'end trip' activities do we have?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	3	paraphrase	Quantas vezes a atividade 'fim da viagem' foi executada?	How many times was the 'end trip' activity performed?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	4	paraphrase	Quantas ocorrências da atividade 'fim da viagem' existem no log de eventos?	How many occurrences of the 'end trip' activity are there in the event log?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	5	paraphrase	Quantas vezes a atividade 'fim da viagem' ocorreu?	How many times did the 'end trip' activity occur?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	6	paraphrase	Quantos eventos relacionados à atividade 'fim da viagem' existem no log de eventos?	How many events related to the 'end trip' activity are there in the event log?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	7	paraphrase	Quantas vezes a atividade nomeada 'fim da viagem' foi executada?	How many times was the activity named 'end trip' performed?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
1	easy	8	paraphrase	Informe o número de vezes que a atividade 'fim da viagem' foi executada.	Report the number of times the 'end trip' activity was performed.	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	none	no	aggregate	no	no	no	no	no	no
1	easy	9	paraphrase	Informe o número de ocorrências da atividade 'fim da viagem'.	Report the number of occurrences of the 'end trip' activity.	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	none	no	aggregate	no	no	no	no	no	no
1	easy	10	paraphrase	Informe o número de ocorrências da atividade nomeada 'fim da viagem'.	Report the number of occurrences of the activity named 'end trip'.	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	none	no	aggregate	no	no	no	no	no	no
1	easy	11	paraphrase	Quantas vezes o fim de uma viagem foi registrado?	How many times was the end of a trip recorded?	Domain	SELECT count(*) FROM event_log WHERE activity = 'End trip'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	events	event	activity	none	descriptive statistics - control flow	how	no	aggregate	no	no	no	no	no	no
																						
2	medium	12	base	Quantas execuções da atividade 'fim da viagem' foram executadas pelo recurso James?	How many performances of the 'end trip' activity were performed by the James resource?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	yes	aggregate	no	no	no	no	no	no
2	medium	13	paraphrase	Temos quantas atividades que foram atualizadas pelo recurso James e que se referem ao 'fim da viagem'?	How many activities do we have that were updated by the James resource and that refer to the 'end trip'?	Value	SELECT count(*) FROM event_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	events	event	activity;resource	none	descriptive statistics - resource;perspective - control flow	how	no	aggregate	no	no	no	no	no	no
